state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,0
AL        ,Alabama                                                                                                                                               ,2013,0
AR        ,Arkansas                                                                                                                                              ,2013,0
AZ        ,Arizona                                                                                                                                               ,2013,0
CA        ,California                                                                                                                                            ,2013,0
CO        ,Colorado                                                                                                                                              ,2013,571824.56000000006
DC        ,District of Columbia                                                                                                                                  ,2013,125000
DE        ,Delaware                                                                                                                                              ,2013,2000
FL        ,Florida                                                                                                                                               ,2013,167336.19
GA        ,Georgia                                                                                                                                               ,2013,0
GU        ,Guam                                                                                                                                                  ,2013,0
HI        ,Hawaii                                                                                                                                                ,2013,0
IA        ,Iowa                                                                                                                                                  ,2013,0
ID        ,Idaho                                                                                                                                                 ,2013,0
IL        ,Illinois                                                                                                                                              ,2013,1004697.15
IN        ,Indiana                                                                                                                                               ,2013,11162.92
KS        ,Kansas                                                                                                                                                ,2013,0
KY        ,Kentucky                                                                                                                                              ,2013,143670.23999999999
LA        ,Louisiana                                                                                                                                             ,2013,0
MA        ,Massachusetts                                                                                                                                         ,2013,0
MD        ,Maryland                                                                                                                                              ,2013,34250
ME        ,Maine                                                                                                                                                 ,2013,0
MI        ,Michigan                                                                                                                                              ,2013,278430.83000000002
MN        ,Minnesota                                                                                                                                             ,2013,636407.46999999997
MO        ,Missouri                                                                                                                                              ,2013,0
MS        ,Mississippi                                                                                                                                           ,2013,42915.519999999997
MT        ,Montana                                                                                                                                               ,2013,2841407.1800000002
NC        ,North Carolina                                                                                                                                        ,2013,64731.029999999999
ND        ,North Dakota - Carrington                                                                                                                             ,2013,0
ND        ,North Dakota - Mandan                                                                                                                                 ,2013,0
NE        ,Nebraska                                                                                                                                              ,2013,125000
NH        ,New Hampshire                                                                                                                                         ,2013,107023.78999999999
NJ        ,New Jersey                                                                                                                                            ,2013,648115.84999999998
NM        ,New Mexico                                                                                                                                            ,2013,461500
NV        ,Nevada                                                                                                                                                ,2013,0
NY        ,New York                                                                                                                                              ,2013,38891.580000000002
OH        ,Ohio                                                                                                                                                  ,2013,0
OK        ,Oklahoma                                                                                                                                              ,2013,0
OR        ,Oregon                                                                                                                                                ,2013,113518.39
PA        ,Pennsylvania                                                                                                                                          ,2013,63298.540000000001
PR        ,Puerto Rico                                                                                                                                           ,2013,100000
RI        ,Rhode Island                                                                                                                                          ,2013,0
SC        ,South Carolina                                                                                                                                        ,2013,0
SD        ,South Dakota                                                                                                                                          ,2013,0
TN        ,Tennessee                                                                                                                                             ,2013,0
TX        ,Texas                                                                                                                                                 ,2013,0
UT        ,Utah                                                                                                                                                  ,2013,352500
VA        ,Virginia                                                                                                                                              ,2013,0
VI        ,U.S. Virgin Islands                                                                                                                                   ,2013,0
VT        ,Vermont                                                                                                                                               ,2013,0
WA        ,Washington                                                                                                                                            ,2013,808126.08999999997
WI        ,Wisconsin                                                                                                                                             ,2013,0
WV        ,West Virginia                                                                                                                                         ,2013,10220.59
WY        ,Wyoming - Laramie                                                                                                                                     ,2013,0
CT        ,Connecticut                                                                                                                                           ,2013,0
