state_id,state_name,Average Concurrent Private Financing
WA        ,Washington                                                                                                                                            ,313626.58000000002
NC        ,North Carolina                                                                                                                                        ,55492.139999999999
MN        ,Minnesota                                                                                                                                             ,335394.16999999998
ND        ,North Dakota - Mandan                                                                                                                                 ,97976.330000000002
MS        ,Mississippi                                                                                                                                           ,19501.470000000001
VT        ,Vermont                                                                                                                                               ,0
PA        ,Pennsylvania                                                                                                                                          ,80491.229999999996
NJ        ,New Jersey                                                                                                                                            ,593834.47999999998
LA        ,Louisiana                                                                                                                                             ,3705.8800000000001
RI        ,Rhode Island                                                                                                                                          ,0
MP        ,Northern Mariana Islands                                                                                                                              ,0
AK        ,Alaska - Anchorage                                                                                                                                    ,15000
CO        ,Colorado                                                                                                                                              ,153715.41
NY        ,New York                                                                                                                                              ,7071.5900000000001
VI        ,U.S. Virgin Islands                                                                                                                                   ,0
TN        ,Tennessee                                                                                                                                             ,28087.299999999999
AL        ,Alabama                                                                                                                                               ,0
IN        ,Indiana                                                                                                                                               ,6246.7700000000004
DC        ,District of Columbia                                                                                                                                  ,19848.48
NE        ,Nebraska                                                                                                                                              ,144314.81
VA        ,Virginia                                                                                                                                              ,0
OH        ,Ohio                                                                                                                                                  ,934.65999999999997
CT        ,Connecticut                                                                                                                                           ,0
MO        ,Missouri                                                                                                                                              ,2741.9400000000001
CA        ,California                                                                                                                                            ,4543.0799999999999
FL        ,Florida                                                                                                                                               ,88964.350000000006
HI        ,Hawaii                                                                                                                                                ,0
ID        ,Idaho                                                                                                                                                 ,16492.060000000001
GA        ,Georgia                                                                                                                                               ,25495.93
NM        ,New Mexico                                                                                                                                            ,162882.35000000001
IA        ,Iowa                                                                                                                                                  ,0
ND        ,North Dakota - Carrington                                                                                                                             ,0
SC        ,South Carolina                                                                                                                                        ,0
NV        ,Nevada                                                                                                                                                ,163309.09
OK        ,Oklahoma                                                                                                                                              ,0
WI        ,Wisconsin                                                                                                                                             ,0
PR        ,Puerto Rico                                                                                                                                           ,10000
WV        ,West Virginia                                                                                                                                         ,8803.7800000000007
MA        ,Massachusetts                                                                                                                                         ,0
AZ        ,Arizona                                                                                                                                               ,143524.20999999999
SD        ,South Dakota                                                                                                                                          ,0
OR        ,Oregon                                                                                                                                                ,124831.69
MI        ,Michigan                                                                                                                                              ,115637.77
AR        ,Arkansas                                                                                                                                              ,28431.34
ME        ,Maine                                                                                                                                                 ,12890.110000000001
WY        ,Wyoming - Laramie                                                                                                                                     ,14168.24
UT        ,Utah                                                                                                                                                  ,129868.42
NH        ,New Hampshire                                                                                                                                         ,46737
MT        ,Montana                                                                                                                                               ,1229685.6200000001
GU        ,Guam                                                                                                                                                  ,0
IL        ,Illinois                                                                                                                                              ,1190949.1499999999
KY        ,Kentucky                                                                                                                                              ,175574.17000000001
KS        ,Kansas                                                                                                                                                ,0
MD        ,Maryland                                                                                                                                              ,245581.82000000001
TX        ,Texas                                                                                                                                                 ,0
DE        ,Delaware                                                                                                                                              ,551.17999999999995
