state_id,state_name,Average Loan Investment Amount
WA        ,Washington                                                                                                                                            ,1118230.6599999999
NC        ,North Carolina                                                                                                                                        ,666494.96999999997
MN        ,Minnesota                                                                                                                                             ,211392.66
ND        ,North Dakota - Mandan                                                                                                                                 ,1870581.9199999999
MS        ,Mississippi                                                                                                                                           ,705393.23999999999
VT        ,Vermont                                                                                                                                               ,1018918.54
PA        ,Pennsylvania                                                                                                                                          ,619361.83999999997
NJ        ,New Jersey                                                                                                                                            ,1134034.4099999999
LA        ,Louisiana                                                                                                                                             ,650951.26000000001
RI        ,Rhode Island                                                                                                                                          ,641643.92000000004
MP        ,Northern Mariana Islands                                                                                                                              ,233320.29000000001
AK        ,Alaska - Anchorage                                                                                                                                    ,250125
CO        ,Colorado                                                                                                                                              ,463452.98999999999
NY        ,New York                                                                                                                                              ,188688.78
VI        ,U.S. Virgin Islands                                                                                                                                   ,520677.5
TN        ,Tennessee                                                                                                                                             ,1290649.3300000001
AL        ,Alabama                                                                                                                                               ,397516.26000000001
IN        ,Indiana                                                                                                                                               ,270049.87
DC        ,District of Columbia                                                                                                                                  ,594348.47999999998
NE        ,Nebraska                                                                                                                                              ,1040446.04
VA        ,Virginia                                                                                                                                              ,336303.09999999998
OH        ,Ohio                                                                                                                                                  ,309877.04999999999
CT        ,Connecticut                                                                                                                                           ,3148980.6099999999
MO        ,Missouri                                                                                                                                              ,968504.77000000002
CA        ,California                                                                                                                                            ,96864.550000000003
FL        ,Florida                                                                                                                                               ,1320344.0700000001
HI        ,Hawaii                                                                                                                                                ,899787.66000000003
ID        ,Idaho                                                                                                                                                 ,657448.53000000003
GA        ,Georgia                                                                                                                                               ,528462.82999999996
NM        ,New Mexico                                                                                                                                            ,2810348.8199999998
IA        ,Iowa                                                                                                                                                  ,399394.72999999998
ND        ,North Dakota - Carrington                                                                                                                             ,397922.95000000001
SC        ,South Carolina                                                                                                                                        ,749329.40000000002
NV        ,Nevada                                                                                                                                                ,1606034.55
OK        ,Oklahoma                                                                                                                                              ,867314.55000000005
WI        ,Wisconsin                                                                                                                                             ,863656.59999999998
PR        ,Puerto Rico                                                                                                                                           ,1612413.3899999999
WV        ,West Virginia                                                                                                                                         ,894102.76000000001
MA        ,Massachusetts                                                                                                                                         ,105029.38
AZ        ,Arizona                                                                                                                                               ,1216478.9299999999
SD        ,South Dakota                                                                                                                                          ,3993696.71
OR        ,Oregon                                                                                                                                                ,542438.93000000005
MI        ,Michigan                                                                                                                                              ,331846.75
AR        ,Arkansas                                                                                                                                              ,413848.04999999999
ME        ,Maine                                                                                                                                                 ,846516.35999999999
WY        ,Wyoming - Laramie                                                                                                                                     ,702275.31000000006
UT        ,Utah                                                                                                                                                  ,1468734.47
NH        ,New Hampshire                                                                                                                                         ,448873.60999999999
MT        ,Montana                                                                                                                                               ,504193.41999999998
GU        ,Guam                                                                                                                                                  ,239261.81
IL        ,Illinois                                                                                                                                              ,1158164.6499999999
KY        ,Kentucky                                                                                                                                              ,549592.12
KS        ,Kansas                                                                                                                                                ,2576214.3100000001
MD        ,Maryland                                                                                                                                              ,3326396.6000000001
TX        ,Texas                                                                                                                                                 ,3425149.8100000001
DE        ,Delaware                                                                                                                                              ,423575.28000000003
